engine,budget,canonical_median_us,legacy_median_us,canonical_mean_us,legacy_mean_us,canonical_n_pairs,legacy_n_pairs,canonical_peak_memory_gib,legacy_peak_memory_gib
Cosmadakis,1.0,148.0,200.0,148.0,200.0,1.0,1.0,0.017,0.017
Cosmadakis,2.0,306.0,758.0,306.0,758.0,1.0,1.0,0.017,0.017
Cosmadakis,3.0,785.0,2761.0,785.0,2761.0,1.0,1.0,0.017,0.017
Cosmadakis,4.0,2207.0,10983.0,2207.0,10983.0,1.0,1.0,0.017,0.017
Cosmadakis,5.0,6813.0,39532.0,6813.0,39532.0,1.0,1.0,0.017,0.017
Cosmadakis,6.0,18259.0,97828.0,18259.0,97828.0,1.0,1.0,0.017,0.029
Cosmadakis,7.0,31350.0,623519.0,31350.0,623519.0,1.0,1.0,0.024,0.223
Cosmadakis,8.0,159729.0,6060035.0,159729.0,6060035.0,1.0,1.0,0.173,1.944
Cosmadakis,9.0,1054045.0,63363443.0,1054045.0,63363443.0,1.0,1.0,1.474,17.375
Freese,1.0,39.0,11.0,39.0,11.0,1.0,1.0,0.017,0.017
Freese,2.0,169.0,41.0,169.0,41.0,1.0,1.0,0.017,0.017
Freese,3.0,1559.0,285.0,1559.0,285.0,1.0,1.0,0.017,0.017
Freese,4.0,10998.0,2458.0,10998.0,2458.0,1.0,1.0,0.017,0.017
Freese,5.0,58322.0,18114.0,58322.0,18114.0,1.0,1.0,0.017,0.017
Freese,6.0,320447.0,87441.0,320447.0,87441.0,1.0,1.0,0.025,0.017
Freese,7.0,3027780.0,468107.0,3027780.0,468107.0,1.0,1.0,0.192,0.017
Freese,8.0,33765548.0,4509506.0,33765548.0,4509506.0,1.0,1.0,1.665,0.017
Freese,9.0,337191233.0,44036745.0,337191233.0,44036745.0,1.0,1.0,14.686,0.017
Hunt,1.0,102.0,117.0,102.0,117.0,1.0,1.0,0.017,0.017
Hunt,2.0,190.0,404.0,190.0,404.0,1.0,1.0,0.017,0.017
Hunt,3.0,563.0,2052.0,563.0,2052.0,1.0,1.0,0.017,0.017
Hunt,4.0,2926.0,12008.0,2926.0,12008.0,1.0,1.0,0.017,0.017
Hunt,5.0,15174.0,56150.0,15174.0,56150.0,1.0,1.0,0.017,0.017
Hunt,6.0,77572.0,288041.0,77572.0,288041.0,1.0,1.0,0.017,0.017
Hunt,7.0,421770.0,2299103.0,421770.0,2299103.0,1.0,1.0,0.017,0.017
Hunt,8.0,3595591.0,20593512.0,3595591.0,20593512.0,1.0,1.0,0.017,0.031
Hunt,9.0,35479411.0,187591439.0,35479411.0,187591439.0,1.0,1.0,0.070,0.206
Whitman,1.0,11.0,13.0,11.0,13.0,1.0,1.0,0.017,0.017
Whitman,2.0,25.0,46.0,25.0,46.0,1.0,1.0,0.017,0.017
Whitman,3.0,115.0,300.0,115.0,300.0,1.0,1.0,0.017,0.017
Whitman,4.0,822.0,2513.0,822.0,2513.0,1.0,1.0,0.017,0.017
Whitman,5.0,6770.0,18006.0,6770.0,18006.0,1.0,1.0,0.017,0.017
Whitman,6.0,37626.0,78796.0,37626.0,78796.0,1.0,1.0,0.017,0.017
Whitman,7.0,143761.0,493155.0,143761.0,493155.0,1.0,1.0,0.017,0.017
Whitman,8.0,1267343.0,4582482.0,1267343.0,4582482.0,1.0,1.0,0.017,0.017
Whitman,9.0,11289329.0,44056116.0,11289329.0,44056116.0,1.0,1.0,0.021,0.017
